inventory_id,prod_id,qty,color,size,weight,retail,cost_price
347,88,0,Ivory,Small,0,0,0
359,90,0,"",Small,0,0,0
361,90,0,"",Large,1,0,0
397,98,0,Grey,Large,1,0,0
415,104,0,"",Small,0,0,0
399,99,0,black,medium,0,0,0
398,99,0,black,small,0,0,0
420,105,0,green,large,1,0,0
21640,2983,7,tan,small,0,0,0
21219,2934,0,blue,medium,0,0,0
344,88,0,Peach,XL,0,0,1.5
348,88,0,Ivory,Medium,0,0,0
423,105,0,blue,large,0,0,0
414,103,0,blue,large,1,0,0
368,93,0,Peach,Small,0,0,0
409,103,0,peach,small,0,0,0
412,103,0,blue,small,0,0,0
411,103,0,peach,large,1,0,0
413,103,0,blue,medium,1,0,0
406,102,0,"",Small,0,0,0
396,98,0,Grey,Medium,0,0,0
380,95,0,"",Small,0,0,0
370,93,0,Peach,Large,1,0,0
424,106,0,"",small,0,0,0
362,91,0,"",Small,0,0,0
426,106,0,"",large,1,0,0
345,88,0,Peach,1XL,0,0,1.5
365,92,0,"",Small,0,0,0
379,94,0,"",Large,2,0,0
335,87,0,Orange,Small,0,0,0
427,108,0,"",Small,0,0,0
366,92,0,"",Medium,1,0,0
392,98,0,White,Small,0,0,0
400,100,0,"",Small,0,0,0
441,109,0,"",Large,0,0,0
405,101,0,"",Large,0,0,0
437,107,0,"",medium,0,0,0
436,107,0,"",small,0,0,0
438,107,0,"",large,1,0,0
497,121,0,"",Medium,0,0,0
504,123,0,"",Large,1,0,0
503,123,0,"",Medium,1,0,0
488,119,0,"",Medium,0,0,0
524,129,0,"",Large,1,0,0
505,124,0,"",Medium,0,0,0
450,112,0,"",Large,1,0,0
456,114,0,"",large,0,0,0
525,129,0,"",1XL,2,0,2
519,128,0,Blue,Small,0,0,0
500,122,0,"",Medium,1,0,0
542,134,0,Blue,Large,0,0,0
521,128,0,Blue,Large,0,0,0
487,119,0,"",Small,0,0,0
451,113,0,"",Small,0,0,0
448,112,0,"",Small,0,0,0
531,131,0,"",1XL,0,0,0
464,115,0,Sage,Medium,0,0,0
517,128,0,White,Medium,0,0,0
541,134,0,Blue,Medium,0,0,0
491,120,0,Oatmeal,Medium,1,0,0
469,97,0,Ivory,Small,0,0,0
470,97,0,Ivory,Medium,1,0,0
466,97,0,Mint,Small,0,0,0
511,126,0,"",Medium,1,0,0
444,110,0,"",Large,1,0,0
498,121,0,"",Large,0,0,0
514,127,0,"",Medium,0,0,0
481,117,0,mocha,small,0,0,0
482,117,0,mocha,medium,0,0,0
478,117,0,oatmeal,small,0,0,0
483,117,0,mocha,large,0,0,0
509,125,0,"",Large,0,0,0
472,116,0,"",small,0,0,0
460,115,0,White,Small,0,0,0
508,125,0,"",Medium,0,0,0
479,117,0,oatmeal,medium,0,0,0
523,129,0,"",Medium,1,0,0
513,127,0,"",Small,0,0,0
530,130,0,"",Large,0,0,0
493,120,0,Purple,Small,0,0,0
474,116,0,"",large,2,0,0
544,134,0,Green,Medium,0,0,0
465,115,0,Sage,Large,1,0,0
486,118,0,"",Large,1,0,0
463,115,0,Sage,Small,0,0,0
490,120,0,Oatmeal,Small,0,0,0
461,115,0,White,Medium,0,0,0
496,121,0,"",Small,0,0,0
468,97,0,Mint,Large,1,0,0
467,97,0,Mint,Medium,1,0,0
439,109,0,"",Small,0,0,0
522,129,0,"",Small,0,0,0
442,110,0,"",Small,0,0,0
506,124,0,"",Large,1,0,0
453,113,0,"",Large,1,0,0
446,111,0,"",Medium,0,0,0
507,125,0,"",Small,0,0,0
516,128,0,White,Small,0,0,0
471,97,0,Ivory,Large,1,0,0
533,131,0,"",3XL,0,0,0
499,122,0,"",Small,0,0,0
495,120,0,Purple,Large,1,0,0
518,128,0,White,Large,0,0,0
462,115,0,White,Large,1,0,0
443,110,0,"",Medium,1,0,0
510,126,0,"",Small,0,0,0
489,119,0,"",Large,0,0,0
528,130,0,"",Small,0,0,0
447,111,0,"",Large,0,0,0
529,130,0,"",Medium,0,0,0
537,133,0,"",Small,0,0,0
455,114,0,"",medium,0,0,0
492,120,0,Oatmeal,Large,1,0,0
515,127,0,"",Large,1,0,0
480,117,0,oatmeal,large,0,0,0
536,132,0,"",3XL,1,0,0
512,126,0,"",Large,1,0,0
526,129,0,"",2XL,2,0,2
539,133,0,"",Large,0,0,0
445,111,0,"",Small,0,0,0
538,133,0,"",Medium,0,0,0
494,120,0,Purple,Medium,1,0,0
485,118,0,"",Medium,0,0,0
527,129,0,"",3XL,3,0,2
452,113,0,"",Medium,1,0,0
535,132,0,"",2XL,1,0,0
449,112,0,"",Medium,1,0,0
532,131,0,"",2XL,0,0,0
520,128,0,Blue,Medium,0,0,0
454,114,0,"",small,0,0,0
501,122,0,"",Large,1,0,0
543,134,0,Green,Small,0,0,0
534,132,0,"",1XL,0,0,0
473,116,0,"",medium,1,0,0
502,123,0,"",Small,0,0,0
484,118,0,"",Small,0,0,0
540,134,0,Blue,Small,0,0,0
600,150,0,"",Large,0,0,0
613,155,0,"",small,0,0,0
627,158,0,"",large,2,0,0
608,153,0,"",Medium,1,0,0
577,141,0,"",XL,0,0,0
594,148,0,"",Medium,0,0,0
595,148,0,"",Large,0,0,0
637,162,0,"",small,0,0,0
